,order_id,customer_id,order_status,order_purchase_timestamp,order_approved_at,order_delivered_carrier_date,order_delivered_customer_date,order_estimated_delivery_date,order_item_id,product_id,seller_id,shipping_limit_date,price,freight_value,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm,product_category_name_english,customer_unique_id,customer_zip_code_prefix,customer_city,customer_state,status
0,e481f51cbdc54678b7cc49136f2d6af7,9ef432eb6251297304e76186b10a928d,delivered,2017-10-02 10:56:33,2017-10-02 11:07:15,2017-10-04 19:55:00,2017-10-10 21:25:13,2017-10-18,1,87285b34884572647811a353c7ac498a,3504c0cb71d7fa48d967e0e4c94d59d9,2017-10-06 11:07:15,29.99,8.72,utilidades_domesticas,40.0,268.0,4.0,500.0,19.0,8.0,13.0,housewares,7c396fd4830fd04220f754e42b4e5bff,3149,sao paulo,SP,Repeater
14,dc8155452b97affece4c5a698beb11f6,fc8da044983142c6a87d308b2cbfb76f,delivered,2017-06-22 01:20:28,2017-06-22 01:35:09,2017-06-22 12:57:55,2017-06-26 11:37:56,2017-07-05,1,a5a0e71a81ae65aa335e71c06261e260,c8417879a15366a17c30af34c798c332,2017-06-28 01:31:56,41.9,11.73,utilidades_domesticas,57.0,698.0,3.0,705.0,34.0,22.0,28.0,housewares,46da36c3df7118852b770394d1ba2be5,5102,sao paulo,SP,Repeater
53,fc39eb893101639217a80a552d1c16f3,a9703ec88ee79c7462a216dfeaeea50b,delivered,2018-01-11 14:56:58,2018-01-12 02:35:40,2018-01-13 00:09:24,2018-01-24 13:08:09,2018-02-07,1,42a2c92a0979a949ca4ea89ec5c7b934,813348c996469b40f2e028d5429d3495,2018-01-22 02:35:40,58.9,25.25,utilidades_domesticas,41.0,799.0,1.0,7000.0,26.0,47.0,27.0,housewares,7a350426024a624cef97f797c408db97,35680,itauna,MG,Repeater
55,7a45994c67017557c12bf0ef5061325f,1616db95afa279b3d462ab5a8ce7bc1d,delivered,2017-11-13 21:29:03,2017-11-13 21:47:19,2017-11-16 19:28:56,2017-11-23 20:32:55,2017-11-27,1,42a2c92a0979a949ca4ea89ec5c7b934,813348c996469b40f2e028d5429d3495,2017-11-20 21:46:49,58.9,14.13,utilidades_domesticas,41.0,799.0,1.0,7000.0,26.0,47.0,27.0,housewares,4a875173bfb6a79bc80ade998b70132e,6465,barueri,SP,Repeater
85,374a125372cffb30e8e2df55f8448da4,88de5fdb28af4bc887846a98e23f6e5b,delivered,2018-01-31 23:31:40,2018-02-02 02:55:44,2018-02-03 03:42:53,2018-02-06 16:52:18,2018-02-20,1,42a2c92a0979a949ca4ea89ec5c7b934,813348c996469b40f2e028d5429d3495,2018-02-12 02:55:44,58.9,14.13,utilidades_domesticas,41.0,799.0,1.0,7000.0,26.0,47.0,27.0,housewares,dc858be5b0bb881c067192937bf4ff78,6172,osasco,SP,Repeater
180,abe1f28ecc30a29b9c57069511cf1464,8fac84d14f7113c17dc3e1776ff46296,delivered,2017-06-01 07:29:41,2017-06-01 07:42:31,2017-06-01 15:48:42,2017-06-07 17:08:24,2017-06-14,1,42a2c92a0979a949ca4ea89ec5c7b934,813348c996469b40f2e028d5429d3495,2017-06-07 07:42:31,59.9,11.73,utilidades_domesticas,41.0,799.0,1.0,7000.0,26.0,47.0,27.0,housewares,1c4531b533d17f3b316de441268e513c,4812,sao paulo,SP,Repeater
186,d798a6f2eef74e8cd33a5c79db6a316c,ad8357e9c4b9a78d08ec2bddcbf2dac9,delivered,2017-10-06 22:18:54,2017-10-09 10:14:45,2017-10-09 20:56:09,2017-10-14 16:17:46,2017-10-24,1,42a2c92a0979a949ca4ea89ec5c7b934,813348c996469b40f2e028d5429d3495,2017-10-16 11:14:21,59.9,14.13,utilidades_domesticas,41.0,799.0,1.0,7000.0,26.0,47.0,27.0,housewares,518199e5f36305bffce18e38aa2642aa,13088,campinas,SP,Repeater
209,324390b70e40e80315c594d323f03798,fce4759d6e9d0ff4f6cbe26defda94e1,delivered,2017-10-06 22:30:26,2017-10-09 10:14:24,2017-10-09 20:56:10,2017-10-13 18:13:13,2017-10-24,1,42a2c92a0979a949ca4ea89ec5c7b934,813348c996469b40f2e028d5429d3495,2017-10-16 11:14:24,59.9,14.13,utilidades_domesticas,41.0,799.0,1.0,7000.0,26.0,47.0,27.0,housewares,518199e5f36305bffce18e38aa2642aa,13820,jaguariuna,SP,Repeater
222,48d9d778ca005971949d2ccad7e99d70,0e94fdb092e81e1a604cca2ddbad0825,delivered,2017-05-01 14:48:33,2017-05-01 15:02:20,2017-05-05 18:17:45,2017-05-15 18:34:04,2017-05-30,1,42a2c92a0979a949ca4ea89ec5c7b934,813348c996469b40f2e028d5429d3495,2017-05-05 15:02:20,59.9,13.0,utilidades_domesticas,41.0,799.0,1.0,7000.0,26.0,47.0,27.0,housewares,015557c9912277312b9073947804a7ba,13870,sao joao da boa vista,SP,Repeater
242,453d23c01dc7a572130a7bd307202429,c0cd13bc1cd404a4e41e887662df7821,delivered,2017-07-20 14:56:52,2017-07-22 02:25:17,2017-07-24 15:03:11,2017-08-08 18:07:47,2017-08-23,1,e9a69340883a438c3f91739d14d3a56d,1b4c3a6f53068f0b6944d2d005c9fc89,2017-07-27 02:25:17,149.9,58.84,utilidades_domesticas,60.0,1912.0,5.0,3000.0,33.0,12.0,34.0,housewares,345759b8cb3d30586551de1ca6905df0,49010,aracaju,SE,Repeater
309,ab6d1b0b8360c208b62852f53726f0e6,c2ff01bd4fa72f9487ee397f6c5989d2,delivered,2017-12-20 09:56:35,2017-12-21 02:12:02,2017-12-26 17:17:16,2018-01-03 14:40:38,2018-01-24,1,306599a052830af3cfebe42ee7a79dde,53e4c6e0f4312d4d2107a8c9cddf45cd,2017-12-28 02:12:02,55.0,0.03,utilidades_domesticas,54.0,354.0,1.0,1250.0,30.0,30.0,30.0,housewares,1b6c7548a2a1f9037c1fd3ddfed95f33,38301,ituiutaba,MG,Repeater
310,ab6d1b0b8360c208b62852f53726f0e6,c2ff01bd4fa72f9487ee397f6c5989d2,delivered,2017-12-20 09:56:35,2017-12-21 02:12:02,2017-12-26 17:17:16,2018-01-03 14:40:38,2018-01-24,2,aefb222adb91095556d8aee8ccd7f97f,53e4c6e0f4312d4d2107a8c9cddf45cd,2017-12-28 02:12:02,69.99,35.35,utilidades_domesticas,60.0,614.0,1.0,4250.0,30.0,35.0,30.0,housewares,1b6c7548a2a1f9037c1fd3ddfed95f33,38301,ituiutaba,MG,Repeater
318,66e1b657a71397245290f39ffe24031e,be274b149cc9bb8af13628e268867c10,delivered,2018-07-22 15:09:37,2018-07-27 23:31:10,2018-07-24 19:07:00,2018-07-25 14:58:47,2018-08-01,1,c985e917daf44dfe2779833209017098,95ec4458365c4d11f452ccf538377619,2018-07-27 04:05:26,18.9,7.39,utilidades_domesticas,55.0,882.0,1.0,200.0,19.0,5.0,25.0,housewares,3e3d56f9737c010ccb5b67c601a18b53,7130,guarulhos,SP,Repeater
319,66e1b657a71397245290f39ffe24031e,be274b149cc9bb8af13628e268867c10,delivered,2018-07-22 15:09:37,2018-07-27 23:31:10,2018-07-24 19:07:00,2018-07-25 14:58:47,2018-08-01,2,c985e917daf44dfe2779833209017098,95ec4458365c4d11f452ccf538377619,2018-07-27 04:05:26,18.9,7.39,utilidades_domesticas,55.0,882.0,1.0,200.0,19.0,5.0,25.0,housewares,3e3d56f9737c010ccb5b67c601a18b53,7130,guarulhos,SP,Repeater
333,b0ff8ff92f8d916fa2e8005cd8e1a135,610a4163b8ab832daf93b4fbb48e9119,delivered,2017-11-19 16:12:34,2017-11-22 02:58:38,2017-11-22 14:47:28,2017-11-24 20:32:37,2017-12-07,1,b6e352d888ba31d8999af279cd63aa24,f61c63d13f7cd800549d5acdd390ae72,2017-11-28 02:58:38,59.9,13.44,utilidades_domesticas,42.0,337.0,2.0,1225.0,27.0,26.0,26.0,housewares,95cfb39a7e263160308a934e42cfc4e0,8615,suzano,SP,Repeater
377,1feca64d75daa682ce3174a1eff73d8b,681afb2f3720c1aa3d3fee254be18800,delivered,2018-04-17 14:27:45,2018-04-17 14:35:27,2018-04-18 18:23:24,2018-04-26 18:14:43,2018-05-17,1,4aa6014eceb682077f9dc4bffebc05b0,b8bc237ba3788b23da09c0f1f3a3288c,2018-04-23 14:35:27,299.99,18.62,utilidades_domesticas,43.0,1002.0,3.0,10150.0,89.0,15.0,40.0,housewares,07f765655f560c8624267665ce23675a,96880,vera cruz,RS,Repeater
380,ab85e3c92c828eb802fd91345e45d92e,4487a084654cdf96e3d715d55b48a04b,delivered,2018-05-18 23:47:11,2018-05-19 00:35:14,2018-05-21 12:41:00,2018-06-02 14:03:03,2018-06-07,1,4aa6014eceb682077f9dc4bffebc05b0,b8bc237ba3788b23da09c0f1f3a3288c,2018-05-22 00:35:14,330.99,26.98,utilidades_domesticas,43.0,1002.0,3.0,10150.0,89.0,15.0,40.0,housewares,61fe766e454d5e750b33250035b4311d,81050,curitiba,PR,Repeater
